county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Kennebec,Oakland,town,http://www.oaklandmaine.us/,,,,,Kennebec
Kennebec,Pittston,election,https://www.pittstonmaine.org/index.asp?SEC=818A26C9-10C8-49E9-8BD1-801ED9DA4F23&Type=B_BASIC,,March 20: Referendum and town meeting,,,Kennebec
Kennebec,Randolph,election,https://www.randolphmaine.org/index.asp?SEC=0D417703-B12A-45DC-93E0-C12009065FCB&Type=B_BASIC,,,,,Kennebec
Kennebec,Readfield,election,https://www.readfieldmaine.org/votingelectionstown-mtg,,Town Meeting Secret Ballot Vote/RSU Referendum,,,Kennebec
Kennebec,Rome,election,https://romemaine.com/departments/clerk/,,RSU #18 School and Municipal Referendum question election,,,Kennebec
Kennebec,Sidney,election,https://www.sidneymaine.org/index.php/town-business/elections-voting-information.html,,School budget,,,Kennebec
Kennebec,Vassalboro,town,http://www.vassalboro.net,,"Selectman, school board, marijuana ordinance, school budget",http://www.vassalboro.net/town_documents/2021%20ballot%20june.pdf,Sample ballot,Kennebec
Kennebec,Vienna,town,http://www.viennamaine.org,,"School budget, referendum questions",http://www.viennamaine.org/index.php/node/900,Referendum details,Kennebec
Kennebec,Waterville,election,http://www.waterville-me.gov/clerk/general-election-information-2/,,,,,Kennebec
Kennebec,Wayne,election,https://www.waynemaine.org/index.asp?SEC=43D7D0BA-39F4-4F39-9A5A-7E6A6771A5F0&Type=B_LIST,,Town meeting,https://www.waynemaine.org/index.asp?SEC=E2E949AD-033B-4EA5-8E26-E9005C4F71DF&Type=B_BASIC,Town meeting details,Kennebec
Kennebec,West Gardiner,election,https://www.westgardinermaine.org/index.asp?SEC=0179D3F9-2CBC-49BF-890C-7999303630A9&Type=B_BASIC,,School budget,https://www.westgardinermaine.org/vertical/sites/%7B430DC3D6-3D5B-4160-ACC5-9122AD84E74F%7D/uploads/WGSchool_Ballot_6-8-21.pdf,Sample ballot,Kennebec
Kennebec,Windsor,town,http://windsor.maine.gov/,,Municipal election,,,Kennebec
Kennebec,Winslow,town,http://www.winslow-me.gov/,,School budget,http://www.winslow-me.gov/news/article.php?id=547,Election details,Kennebec
Kennebec,Winthrop,election,https://www.winthropmaine.org/town-clerk/pages/voting-election-information,Town Office at 17 Highland Avenue,,,,Kennebec
Knox,Appleton,town,https://appleton.maine.gov/,,Town meeting,https://appleton.maine.gov/,Town meeting warrants,Knox
Knox,Camden,election,https://www.camdenmaine.gov/town_clerk/voter_registration.php,"Entrance door of Camden Town Office, 29 Elm Street","School budget, 15 articles",https://www.camdenmaine.gov/town_clerk/voter_registration.php,Sample ballots,Knox
Knox,Cushing,town,https://www.cushing.maine.gov/,,Referendum,https://www.cushing.maine.gov/wp-content/uploads/2021/05/RSU-13-Election-Info.pdf,Election details,Knox
Knox,Friendship,contact info,https://www.maine.gov/local/town.php?t=Friendship,,,,,Knox
Knox,Hope,town,https://hopemaine.org/,,,,,Knox
Knox,Isle Au Haut,town,http://www.isleauhautmaine.us/,,May 10: Town Meeting,,,Knox
Knox,Matinicus Isle Plantation,town,https://matinicusplantation.com/election-information/,,June 18: Town Meeting,https://matinicusplantation.com/2021/04/10/town-meeting-date-is-friday-june-18-at-500-pm-outside-the-town-office/,Town meeting details,Knox
Knox,North Haven,town,http://www.northhavenmaine.org/,,,,,Knox
Knox,Owls Head,town,https://www.owlshead.maine.gov/government/elections-information/,,School budget,https://www.owlshead.maine.gov/wp-content/uploads/2021/05/june-voting-6-8-21.pdf,Sample ballot,Knox
Knox,Rockland,election,https://rocklandmaine.gov/municipal/departments/clerks-office/voting/,,School budget,https://drive.google.com/file/d/1JMikO3dA_morXfcuIFRJE3Pq5Lwvfe6I/view?rm=minimal,Sample ballot,Knox
